school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
OASIS PRIMARY SCHOOL,http://www.oasispri.moe.edu.sg/,71   Edgefield Plains,828716,6320 9855,na,6320 9856,na,oasis_ps@moe.edu.sg,Damai LRT Station,"50, 386",MRS ONG-CHEW LU SEE,MDM NG YIN SZE JOSEPHINE,MDM CHUT SHI LIN,NULL,NULL,NULL,NULL,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
OPERA ESTATE PRIMARY SCHOOL,http://www.operaestatepri.moe.edu.sg,48   FIDELIO STREET,458436,62410417,na,64493042,na,oeps@moe.edu.sg,"Bedok, Kembangan",42,MDM LOE LAI PINK,MDM ADILA ONG KIM LUAN,MR RAYMOND TAY KOON MING,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
ORCHID PARK SECONDARY SCHOOL,http://www.orchidparksec.moe.edu.sg,10   YISHUN STREET 81,768454,67598547,na,67588770,na,opss@moe.edu.sg,KHATIB MRT,811,MR SHAWAL BIN HUSSIN,MDM TEO MEI LIN YVONNE,"MR WONG TIEN CHIEH, GLENN",NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
OUTRAM SECONDARY SCHOOL,http://www.outramsec.moe.edu.sg,3    YORK HILL,168622,67334077,na,62352337,na,OSS@MOE.EDU.SG,"OUTRAM PARK MRT, CHINATOWN MRT","174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",MR BOO HIAN KOK,MR LIM PANG CHUANG,MDM GUINIEVE YEO LI-LYN,NULL,NULL,NULL,NULL,CENTRAL,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PALM VIEW PRIMARY SCHOOL,http://www.palmviewpri.moe.edu.sg,150  Compassvale Bow,544822,65087300,na,68754150,na,palmview_ps@moe.edu.sg,Buangkok,"27,43,109,156,159,161,163,163M,550",MRS MING KUM,MR LOH BIN,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na
PARK VIEW PRIMARY SCHOOL,http://www.parkviewpri.moe.edu.sg,60   PASIR RIS DRIVE 1,519524,65851421,na,65851401,na,PVPS@MOE.EDU.SG,Pasir Ris MRT Station,"358,39,53,81,89",MISS OH SEE MOEY,MDM HO FUI FONG,NULL,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PASIR RIS CREST SECONDARY SCHOOL,http://www.prcss.moe.edu.sg,11   PASIR RIS STREET 41,518934,65811655,na,65813226,na,prcss@moe.edu.sg,PASIR RIS MRT,"358, 17, 81, 12, 3",MRS KOH CAIYU,MR ADRIAN LEOW LIP BOON,MR ASHRAF HYDER YUSOFF MANIAM,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PASIR RIS PRIMARY SCHOOL,http://www.pasirrispri.moe.edu.sg,5    PASIR RIS STREET 21,518968,65822606,na,65828492,na,prps@moe.edu.sg,Pasir Ris MRT,"3,5,6,89",MR TAN KING MING,MDM THILAGAMANI D/O T SIVANANDAM,NULL,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PASIR RIS SECONDARY SCHOOL,http://pasirrissec.moe.edu.sg,390  TAMPINES STREET 21,529400,65010800,65010855,65010900,na,prss@moe.edu.sg,"TAMPINES MRT, TAMPINES EAST MRT,  TAMPINES WEST MRT","3, 4, 8, 10, 15, 18, 19, 20, 21, 22, 23, 27, 28, 29, 31, 37, 38, 39, 46, 65, 67, 68, 69, 72, 81, 127, 129, 168, 291, 292, 293, 298, 969",MDM GRACE TAN BEE SIM,MR LIN PEI,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),http://www.payalebarmethodistgirlspri.moe.edu.sg/,298  LORONG AH SOO,536741,62862795,na,62803915,na,PLMGPS@MOE.EDU.SG,"Kovan (NE13), Serangoon(NE12/CC13)","45, 53, 53M, 62, 113",MRS JOYCE ANG,MS GRACE TAY MENG HON,NULL,NULL,NULL,NULL,NULL,HOUGANG,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),http://www.plmgss.moe.edu.sg,296  LOR AH SOO,536742,62816606,na,63820558,na,plmgss@moe.edu.sg,"KOVAN MRT, SERANGOON MRT","45, 53, 53M, 62, 113",MRS QUEK LI GEK,MDM TAN MAY LIN SELINA,NULL,NULL,NULL,NULL,NULL,HOUGANG,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
PEI CHUN PUBLIC SCHOOL,http://www.peichunpublic.moe.edu.sg,16   LORONG 7 TOA PAYOH,319320,63539450,na,63538418,na,PCPS@MOE.EDU.SG,Toa Payoh MRT Station and Braddell MRT Station,"Bus Service 232, 57",MR LIM MENG WEI,MISS ADELINE LEONG QINGHUA,MISS SNG WAN XIAN,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,http://www.peihwapresbyterianpri.moe.edu.sg/,7    PEI WAH AVENUE,597610,64663787,64663797,64621944,na,phpps@moe.edu.sg,Beauty World,"970, 852, 174, 173, 157, 77, 61",MRS ELSIE POEY,MRS JACQUELINE HIEW,MDM YONG MING WOEI CHLOE,NULL,NULL,NULL,NULL,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
PEI HWA SECONDARY SCHOOL,http://www.peihwasec.moe.edu.sg,21   FERNVALE LINK,797702,65009580,na,63438326,na,peihwasec@moe.edu.sg,"SENGKANG MRT, LAYAR LRT","50, 70, 86, 103, 163, 854",MDM YONG LI LING BELINDA,MR TAN CHER HUI PHILIP,MRS MICHELLE WILLMAN,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PEI TONG PRIMARY SCHOOL,http://www.peitongpri.moe.edu.sg/,15   CLEMENTI AVENUE 5,129857,67775458,na,67789784,na,PTPS@MOE.EDU.SG,Clementi,"7, 184, 282",MRS NG- TEO SOCK HUA,MDM LIM WAI PING PATRICIA,NULL,NULL,NULL,NULL,NULL,CLEMENTI,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PEICAI SECONDARY SCHOOL,http://www.peicaisec.moe.edu.sg,10   SERANGOON AVENUE 4,556094,62884159,na,62830480,na,peicai_ss@moe.edu.sg,SERANGOON MRT,"22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853",MR LIM KOK HWA,MISS TAN LI PING,MR SHUE PEI YAN,NULL,NULL,NULL,NULL,SERANGOON,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PEIRCE SECONDARY SCHOOL,http://www.peircesec.moe.edu.sg,10   SIN MING WALK,575566,64576454,na,64576448,na,PEIRCE_SS@MOE.EDU.SG,"ANG MO KIO MRT, BISHAN MRT, MARYMOUNT MRT, BRIGHT HILL MRT (target opening in Q3, 2021)","52, 132, 162, 163, 165, 166, 167, 410, 855, 980",MDM BETTY CHANG,MRS NG MONG KHENG,MS NG BOON MIN,NULL,NULL,NULL,NULL,BISHAN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PEIYING PRIMARY SCHOOL,http://www.peiyingpri.moe.edu.sg,651  YISHUN RING ROAD,768687,62575684,na,67558802,na,peiying_ps@moe.edu.sg,Khatib,"851, 852, 853, 854, 855",MDM WONG WEI YONG,MR ABDUL RANI BIN IDRIS,NULL,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PING YI SECONDARY SCHOOL,http://pingyisec.moe.edu.sg,61   CHAI CHEE STREET,468980,64489580,na,64442731,na,pyss@moe.edu.sg,BEDOK MRT,"26, 222, 222B, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 854, 60, 87",MR ANG CHEE SENG,MR CHEONG HUEI LEONARD,NULL,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PIONEER PRIMARY SCHOOL,http://www.pioneerpri.moe.edu.sg,23   JURONG WEST STREET 81,649076,67932397,na,67933974,na,pioneer_ps@moe.edu.sg,Boon Lay Station,243,MDM LOKE WAI LING,MR TAN HOCK CHYE CHARLES,MDM CHOO SIEW HONG,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
POI CHING SCHOOL,http://www.poiching.moe.edu.sg,21   TAMPINES STREET 71,529067,67856420,na,67857198,na,contact@poiching.moe.edu.sg,Tampines MRT,"Bus 293, 72, 27 and 168",MDM CHUA YE LING,MDM PEH TAN WEE,MS TAN SEOK KUAN,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
PRESBYTERIAN HIGH SCHOOL,http://www.presbyterian.moe.edu.sg,5209 ANG MO KIO AVENUE 6,569845,64543722,na,64543430,na,presbyterian@moe.edu.sg,YIO CHU KANG MRT,"45, 70, 70M, 71, 76, 86, 668, 851, 851e, 852, 853",MR OWYONG TUCK SING VICTOR,MISS YEW MEI FOONG SARAH,NULL,NULL,NULL,NULL,NULL,ANG MO KIO,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PRINCESS ELIZABETH PRIMARY SCHOOL,http://www.princesselizabethpri.moe.edu.sg,30   BUKIT BATOK WEST AVENUE 3,659163,65655111,na,65637859,na,PEPS@MOE.EDU.SG,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",MDM MOLIAH BINTE HASHIM,MISS NGIAM WEE HENG,MR LEE FOOK LOONG EUGENE,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PUNGGOL COVE PRIMARY SCHOOL,https://punggolcovepri.moe.edu.sg/,52   Sumang Walk,828674,63857339,na,63857261,na,punggolcove_ps@moe.edu.sg,Nibong LRT Station,"382W, 84","MR YAP SWEE BENG, DENNIS",MISS THIA HWEI LING SHARON,MR WAN IMRAN BIN MOHAMED WOOJDY,NULL,NULL,NULL,NULL,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PUNGGOL GREEN PRIMARY SCHOOL,http://www.punggolgreenpri.moe.edu.sg,98   Punggol Walk,828772,65383011,na,65383210,na,admin_punggolgreen_ps@moe.edu.sg,Punggol MRT Station,na,MR HANAFI B ASMORE,MISS TAN HUILING CHERYL,DR LEE KOK SONK,NULL,NULL,NULL,NULL,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PUNGGOL PRIMARY SCHOOL,http://www.punggolpri.moe.edu.sg/,61   HOUGANG AVENUE 8,538787,63850762,na,63877793,na,punggol_ps@moe.edu.sg,"Hougang, Buangkok",62 74 88 113 147 325,MISS CHEW TOCK LEE,MISS KAREN YAW LI LING,NULL,NULL,NULL,NULL,NULL,HOUGANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
PUNGGOL SECONDARY SCHOOL,http://www.punggolsec.moe.edu.sg,51   EDGEFIELD PLAINS,828870,64897851,na,64897859,na,PUNGGOL_SS@MOE.EDU.SG,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",MS TOH ENG BENG ANGELINE,MR ANITH KUMAR S/O NADESAN,MR VINCENT LEE WEI YEE,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
PUNGGOL VIEW PRIMARY SCHOOL,http://www.punggolviewpri.moe.edu.sg,9    Punggol Place,828845,6570 1588,na,6570 3680,na,punggolview_ps@moe.edu.sg,Punggol MRT Station,50 382,DR ANG WEK CHENG,MDM SHARIFAH SAMIRAH BTE SYED MOHAMAD,MR GOH ZENSEN,NULL,NULL,NULL,NULL,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
QIFA PRIMARY SCHOOL,http://www.qifapri.moe.edu.sg,50   WEST COAST AVENUE,128104,67783085,na,67761485,na,QIFA_PS@MOE.EDU.SG,Clementi MRT Station,"30,51,78,143,285,655",MRS CATHERINE CHIANG,"MDM CHAN SIN LI, CINDY",MR WONG WOEN LONG,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
QIHUA PRIMARY SCHOOL,http://www.qihuapri.moe.edu.sg,5    WOODLANDS STREET 81,738525,62696250,na,62693114,na,QIHUA_PS@MOE.EDU.SG,Woodlands MRT Station,"911, 900",MRS LEE HUI FENG,MR FOO CHUAN KAI,MR GOH GIAM HWEE (WU JIANHUI),NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
QUEENSTOWN PRIMARY SCHOOL,http://www.queenstownpri.moe.edu.sg,310  MARGARET DR,149303,64741044,na,64713640,na,qtps@moe.edu.sg,Queenstown MRT,"32, 111, 145, 195",MISS NG POR JOO PEARLY,MR ATRAJU S/O KANAN RAMDAS,NULL,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
QUEENSTOWN SECONDARY SCHOOL,http://www.queenstownsec.moe.edu.sg,1    STRATHMORE ROAD,148800,64741055,na,64741295,na,qtss@moe.edu.sg,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",MDM RASIDAH BTE RAHIM,MR CHUA PUAY WEE ERIC,MRS YUE-CHANG TECK HUI,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
QUEENSWAY SECONDARY SCHOOL,http://www.queenswaysec.moe.edu.sg,2A   MARGARET DRIVE,149295,64741421,na,64741302,na,QSS@moe.edu.sg,"COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970","MR TAN CHONG TZE, PETER",MR NG HOCK SOON,MR LOH KAR WAI JAY,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
RADIN MAS PRIMARY SCHOOL,http://www.radinmasps.moe.edu.sg,1    BUKIT PURMEI AVENUE,099840,62733937,na,62763083,na,rmps@moe.edu.sg,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",MR MUHAMMAD FARIZAL BIN UMAR EFFE,MRS LINDA TAN,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
RAFFLES GIRLS' PRIMARY SCHOOL,http://www.rafflesgirlspri.moe.edu.sg,21   Hillcrest Road,289072,64684377,na,64692024,na,RGPS@MOE.EDU.SG,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",MRS YUE YOKE MUN NEE WAI,MISS CHEN MEI CHUEN,MISS KONG SU MAY,NULL,NULL,NULL,NULL,BUKIT TIMAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil
RAFFLES GIRLS' SCHOOL (SECONDARY),http://www.rgs.edu.sg,2    BRADDELL RISE,318871,67371845,na,62353731,na,RGSS@MOE.EDU.SG,"BRADDELL MRT, CALDECOTT MRT","59, 93, 129, 156, 157, 163, 231, 232, 235",MDM HASLINDA BTE ZAMANI,MS CHIN JEN FU,MS TAN HWEE MIAN MAY,MRS MARY CHERIYAN,NULL,NULL,NULL,CENTRAL,SOUTH,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,Yes,Yes,Chinese,Malay,Tamil
RAFFLES INSTITUTION,http://www.ri.edu.sg,1    RAFFLES INSTITUTION LANE,575954,64199242,na,64199238,na,comms@ri.edu.sg,"BISHAN MRT, MARYMOUNT MRT","410,13,50,52,53,54,55,56,57,58,59,71,74,88,93,128,130,132,156,157,162,163,165,166,167,851,852,855,980",MR YEO KOK PENG FREDERICK,MDM THOR POH SIN THERESA,MR EDWARD NG,MR CHEN ZIYANG,MR ANG PENG SIONG BRIAN LAGMAN,MRS REAVLEY MUNN YE,MS NG MEI SZE,BISHAN,SOUTH,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,No,No,Yes,Yes,Chinese,Malay,Tamil
RED SWASTIKA SCHOOL,http://www.redswastika.moe.edu.sg,350  BEDOK NORTH AVENUE 3,469719,64430380,na,62448391,na,REDSWASTIKA@MOE.EDU.SG,Bedok Reservoir MRT,"Bus 14, 17, 28, 46, 66, 67, 69, 222, 228",MS JESSIE LIM CHIEN CHIN,MS ANGELA GOH BEE LIAN,MDM ESTHER E TZY KWEI,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
REGENT SECONDARY SCHOOL,http://regentsec.moe.edu.sg,50   CHOA CHU KANG NORTH 5,689621,67653828,na,67653413,na,REGENT_SS@MOE.EDU.SG,"YEW TEE MRT, CHOA CHU KANG MRT","307, 160, 170, 178, 925, 927, 960, 961, 979",MR LEONG KOK KEE,MRS TANG HUAY JIUAN PATRINE,NULL,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
RIVER VALLEY HIGH SCHOOL,https://rivervalleyhigh.moe.edu.sg/,6    BOON LAY AVENUE,649961,65678115,na,65677351,na,RVHS@MOE.EDU.SG,"BOON LAY MRT, LAKESIDE MRT","99, 157, 172, 174, 174E, 198, 240, 502, 974, NR5",MRS TEO KHIN HIANG NEE LEE WAI TAI,MR LAU WAI CHI ALVIN,MR KWOK YING LIANG,"MR LIM PENG YUAN, ANDY",NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,No,Yes,Chinese,na,na
RIVER VALLEY PRIMARY SCHOOL,http://www.rivervalleypri.moe.edu.sg,2    RIVER VALLEY GREEN,237993,67371785,na,67321951,na,rvps@moe.edu.sg,Somerset MRT,"5, 16, 32, 54, 65, 75, 175, 970",MDM WONG LI PENG,MR PHANG ENG POH,DR AUDREY KOH CHOUK ENG,NULL,NULL,NULL,NULL,CENTRAL,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
RIVERSIDE PRIMARY SCHOOL,http://www.riversidepri.moe.edu.sg,110  Woodlands Crescent,737803,63654490,na,63654460,na,riverside_ps@moe.edu.sg,Admiralty MRT Station,Bus No 913 and Bus No 964,MR TAN CHOON KHENG,MDM KHOO PHAIK HOON REGINA,MRS RANUKA PALANIVELU,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
RIVERSIDE SECONDARY SCHOOL,http://www.riversidesec.moe.edu.sg,3    WOODLANDS STREET 81,738524,62699631,na,63683677,na,RIVERSIDE_SS@MOE.EDU.SG,WOODLANDS MRT,"858, 900, 911, 913, 964, 962, 965, 969, 169, 903",MISS THAM YOKE CHUN,MR DERICK WONG TECK FATT,MDM LINDA YEO SOCK KHOON,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
RIVERVALE PRIMARY SCHOOL,http://www.rivervalepri.moe.edu.sg/,80   RIVERVALE DRIVE,545092,63887450,na,63887449,na,RIVERVALE_PS@MOE.EDU.SG,Nearest LRT Station : Rumbia,"Bus Service 86, 371.",MISS RADHA D/O G SUBRAMANIAM,MR KNG WEE BENG,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
ROSYTH SCHOOL,https://www.rosyth.moe.edu.sg,21   Serangoon North Avenue 4,555855,64812273,na,64831102,na,rosyth_sch@schools.gov.sg,"Ang Mo Kio, Serangoon","73, 315, 116",MDM ELIS TAN LEE CHING,MR CHIEW JING WEN,MS POH HWEE THING,NULL,NULL,NULL,NULL,SERANGOON,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil
RULANG PRIMARY SCHOOL,http://www.rulangpri.moe.edu.sg/,6    JURONG WEST STREET 52,649295,65657771,na,65632382,na,RULANG_PS@MOE.EDU.SG,Lakeside,SBS 335,MS TRACY TAN I- LIAN,MISS NG MEI YUN,DR CHOONG PEK LAN,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",http://www.sst.edu.sg,1    Technology Drive,138572,(65) 65717200,na,(65) 68720856,na,contactus@sst.edu.sg,Dover,"14, 74, 105, 106, 147, 166, 185",MRS LINDA CHAN,MRS CHEW EU JIN NEE LIM WAI LEE,NULL,NULL,NULL,NULL,NULL,CLEMENTI,WEST,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
"SCHOOL OF THE ARTS, SINGAPORE",http://www.sota.edu.sg/,1    Zubir Said Drive,227968,6338 9663,6342 5857,6338 9763,na,enquiries@sota.edu.sg,Dhoby Ghaut,"7, 14, 16, 36, 64, 65, 77, 106, 111, 124, 128, 131, 147, 162, 166, 167, 171, 174, 175, 190, 502, 518, 700, 857,",MDM WONG YEE MIN MARY,MR HO KOK SUN KEVIN,MS KHOO MEI LING AMY,MISS PAULINE ANN TAN POH LING,NULL,NULL,NULL,CENTRAL,SOUTH,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,No,No,No,No,Chinese,Malay,Tamil
SEMBAWANG PRIMARY SCHOOL,http://www.sembawangpri.moe.edu.sg,10   SEMBAWANG DRIVE,757715,67567330,na,67560367,na,SEMBAWANG_PS@MOE.EDU.SG,Sembawang MRT (6 to 8-minute walk),"656, 859, 962, 980",MRS GRACE CHUA,MDM LIM SIEW CHENG CINDY,NULL,NULL,NULL,NULL,NULL,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
SEMBAWANG SECONDARY SCHOOL,http://www.sembawangsec.moe.edu.sg,30   SEMBAWANG CRESCENT,757704,67566760,na,67585380,na,SEMBAWANG_SS@MOE.EDU.SG,SEMBAWANG MRT,"859, 859A, 962",MR JASWANT SINGH,MR GOH KEE YONG @ GOH CHONG HENG,MR LEE YONG KIANG JUSTIN,NULL,NULL,NULL,NULL,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
SENG KANG PRIMARY SCHOOL,http://www.sengkangpri.moe.edu.sg/,21   COMPASSVALE WALK,545166,63840809,na,63840839,na,SKPS@MOE.EDU.SG,Sengkang MRT,"27, 80, 82, 83, 86, 87, 88, 89, 119, 156, 163, 371, 372 & 965",MDM SEAH WHYE CHOO,MISS THIEN LI CHIN,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
SENG KANG SECONDARY SCHOOL,http://www.sengkangsec.moe.edu.sg,10   COMPASSVALE LANE,545090,63887258,na,63887254,na,skss@moe.edu.sg,"SENGKANG MRT, RANGGUNG LRT","27, 80, 85, 86, 87, 89, 89E, 163, 163M, 372",MR KOH YIAK KHENG,MR TAN TECK TIAN,MDM NAZIMAH BTE ABDULLAH,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
